Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,28.82,28.89,28.26,28.5,832010
1/3/2018 16:00:00,28.53,28.78,28.5,28.62,884722
1/4/2018 16:00:00,28.79,28.94,28.67,28.9,864405
1/5/2018 16:00:00,29.12,29.16,28.77,28.89,716158
1/8/2018 16:00:00,28.91,28.91,28.64,28.82,742545
1/9/2018 16:00:00,28.95,29.11,28.8,28.83,1167045
1/10/2018 16:00:00,28.67,28.7,27.36,27.91,2291982
1/11/2018 16:00:00,27.96,28.2,27.79,28.14,1367519
1/12/2018 16:00:00,28.15,28.37,28.06,28.3,1265480
1/16/2018 16:00:00,28.4,28.53,28.17,28.25,1262270
1/17/2018 16:00:00,28.39,28.58,28.24,28.53,779025
1/18/2018 16:00:00,28.57,28.57,28.35,28.42,687560
1/19/2018 16:00:00,28.51,28.58,28.23,28.3,927395
1/22/2018 16:00:00,28.25,28.47,27.89,28.05,1151193
1/23/2018 16:00:00,28.03,28.13,27.71,28,1859039
1/24/2018 16:00:00,28.15,28.17,27.94,28.09,1340530
1/25/2018 16:00:00,28.17,28.21,27.66,27.7,1381170
1/26/2018 16:00:00,27.8,27.8,27.53,27.64,1614648
1/29/2018 16:00:00,27.62,27.62,27.15,27.31,1679630
1/30/2018 16:00:00,27.25,27.38,26.99,27.32,1336736
1/31/2018 16:00:00,27.4,27.76,27.33,27.71,1452425
2/1/2018 16:00:00,27.65,27.81,27.32,27.63,1767039
2/2/2018 16:00:00,27.41,27.41,26.51,26.52,1788746
2/5/2018 16:00:00,26.29,26.4,25.61,25.62,3001875
2/6/2018 16:00:00,25.22,26.22,24.64,26.21,2557756
2/7/2018 16:00:00,26.12,26.3,25.91,25.92,1830522
2/8/2018 16:00:00,26.02,26.08,25.16,25.16,2385252
2/9/2018 16:00:00,25.33,25.68,25.03,25.56,2205058
2/12/2018 16:00:00,25.63,25.84,25.52,25.7,1177667
2/13/2018 16:00:00,25.64,25.86,25.49,25.84,1020296
2/14/2018 16:00:00,25.54,25.79,25.4,25.68,1267742
2/15/2018 16:00:00,26.21,26.25,25.74,26.22,1685640
2/16/2018 16:00:00,26.22,26.89,26.11,26.66,1590935
2/20/2018 16:00:00,26.62,26.9,26.54,26.61,1718876
2/21/2018 16:00:00,26.62,26.98,26.6,26.65,1575722
2/22/2018 16:00:00,26.85,26.98,26.56,26.62,1563913
2/23/2018 16:00:00,26.79,26.89,26.66,26.76,1485525
2/26/2018 16:00:00,26.81,26.89,26.53,26.75,1249321
2/27/2018 16:00:00,26.61,26.7,26.11,26.15,1055942
2/28/2018 16:00:00,26.21,26.27,25.63,25.63,1483064
3/1/2018 16:00:00,25.64,25.85,25.3,25.46,2291984
3/2/2018 16:00:00,25.17,25.76,25.17,25.74,1036018
3/5/2018 16:00:00,25.51,25.98,25.5,25.98,765370
3/6/2018 16:00:00,26.17,26.31,26.03,26.24,884151
3/7/2018 16:00:00,26.09,26.3,25.97,26.25,765844
3/8/2018 16:00:00,26.36,26.59,26.32,26.54,1369516
3/9/2018 16:00:00,26.67,26.72,26.42,26.6,841551
3/12/2018 16:00:00,26.68,26.68,26.4,26.45,710881
3/13/2018 16:00:00,26.54,26.57,26.1,26.13,805824
3/14/2018 16:00:00,26.33,26.59,26.15,26.36,708371
3/15/2018 16:00:00,26.31,26.8,26.3,26.57,1107564
3/16/2018 16:00:00,26.57,26.66,26.41,26.53,1299327
3/19/2018 16:00:00,26.44,26.45,25.9,26.13,1153465
3/20/2018 16:00:00,26.21,26.26,25.95,26.16,1299622
3/21/2018 16:00:00,26.21,26.72,26.21,26.44,978186
3/22/2018 16:00:00,26.24,26.24,25.6,25.62,1214421
3/23/2018 16:00:00,25.77,25.87,25.58,25.61,1216462
3/26/2018 16:00:00,25.97,26.09,25.74,26.08,1071336
3/27/2018 16:00:00,26.09,26.13,25.59,25.68,877356
3/28/2018 16:00:00,25.66,25.9,25.55,25.66,1492551
3/29/2018 16:00:00,25.92,25.92,25.64,25.82,2142031
4/2/2018 16:00:00,25.84,25.88,25.37,25.46,1915472
4/3/2018 16:00:00,25.68,25.97,25.58,25.77,2925037
4/4/2018 16:00:00,25.49,25.82,25.32,25.75,2068984
4/5/2018 16:00:00,25.82,25.96,25.6,25.92,874218
4/6/2018 16:00:00,25.77,25.97,25.5,25.52,809311
4/9/2018 16:00:00,25.65,25.93,25.5,25.7,674195
4/10/2018 16:00:00,25.99,26.12,25.84,25.85,658977
4/11/2018 16:00:00,25.73,26.1,25.7,26.03,843948
4/12/2018 16:00:00,26.09,26.43,26.07,26.21,992098
4/13/2018 16:00:00,26.36,26.37,25.79,25.88,563682
4/16/2018 16:00:00,26.02,26.11,25.85,25.93,747313
4/17/2018 16:00:00,26.08,26.08,25.83,25.88,957919
4/18/2018 16:00:00,25.91,26.17,25.91,25.97,684046
4/19/2018 16:00:00,25.98,26.03,25.62,25.68,983963
4/20/2018 16:00:00,25.69,25.83,25.5,25.54,668032
4/23/2018 16:00:00,25.58,25.71,25.44,25.48,767648
4/24/2018 16:00:00,25.62,25.71,25.33,25.46,1334328
4/25/2018 16:00:00,25.44,25.46,25.21,25.31,684249
4/26/2018 16:00:00,25.49,25.97,25.38,25.95,1111165
4/27/2018 16:00:00,25.91,26.23,25.91,26.19,782483
4/30/2018 16:00:00,26.23,26.45,26.21,26.24,665580
5/1/2018 16:00:00,26.15,26.27,25.82,26,692635
5/2/2018 16:00:00,25.93,26.08,25.84,25.87,614537
5/3/2018 16:00:00,25.83,26.17,25.74,26.13,744844
5/4/2018 16:00:00,26,26.41,25.93,26.34,564778
5/7/2018 16:00:00,26.34,26.41,26.29,26.34,508240
5/8/2018 16:00:00,26.32,26.39,26.03,26.23,1047787
5/9/2018 16:00:00,26.36,26.43,26.12,26.38,852850
5/10/2018 16:00:00,26.48,27.27,26.41,26.88,920230
5/11/2018 16:00:00,26.89,27.01,26.76,26.85,635155
5/14/2018 16:00:00,26.99,27.2,26.99,27.04,658951
5/15/2018 16:00:00,26.85,27.18,26.63,26.99,1183375
5/16/2018 16:00:00,26.97,27.07,26.58,26.79,742158
5/17/2018 16:00:00,26.85,26.87,26.6,26.69,605126
5/18/2018 16:00:00,26.61,26.79,26.56,26.72,691845
5/21/2018 16:00:00,26.83,26.91,26.75,26.89,379661
5/22/2018 16:00:00,26.91,27.17,26.81,26.88,422103
5/23/2018 16:00:00,26.76,27.11,26.64,27.01,1065646
5/24/2018 16:00:00,26.93,27.05,26.6,26.78,511739
5/25/2018 16:00:00,26.62,26.96,26.55,26.74,554220
5/29/2018 16:00:00,26.51,26.66,26.19,26.31,744228
5/30/2018 16:00:00,26.34,26.76,26.25,26.76,601393
5/31/2018 16:00:00,26.69,26.69,26.15,26.37,1215400
6/1/2018 16:00:00,26.52,26.64,26.42,26.51,330307
6/4/2018 16:00:00,26.65,26.82,26.58,26.79,362648
6/5/2018 16:00:00,26.7,26.87,26.66,26.83,475217
6/6/2018 16:00:00,27.02,27.04,26.78,26.98,622269
6/7/2018 16:00:00,27.01,27.11,26.81,26.87,418311
6/8/2018 16:00:00,26.81,27.34,26.81,27.32,529726
6/11/2018 16:00:00,27.32,27.55,27.32,27.43,597733
6/12/2018 16:00:00,27.42,27.48,27.15,27.46,569027
6/13/2018 16:00:00,27.47,27.69,27.47,27.55,580577
6/14/2018 16:00:00,27.61,28.05,27.55,27.82,1050719
6/15/2018 16:00:00,27.77,27.97,27.43,27.47,954393
6/18/2018 16:00:00,27.36,28.6,27.31,27.44,1028007
6/19/2018 16:00:00,27.23,27.26,27.01,27.09,589147
6/20/2018 16:00:00,27.15,27.64,27.15,27.4,920364
6/21/2018 16:00:00,27.41,27.45,27.13,27.26,537314
6/22/2018 16:00:00,27.36,27.4,27.25,27.27,604179
6/25/2018 16:00:00,27.07,27.21,26.38,26.41,841226
6/26/2018 16:00:00,26.45,26.79,26.37,26.61,773220
6/27/2018 16:00:00,26.69,26.69,26.32,26.35,778512
6/28/2018 16:00:00,26.39,26.74,26.38,26.48,1208173
6/29/2018 16:00:00,26.54,26.98,26.54,26.83,1202114
7/2/2018 16:00:00,26.62,26.72,26.54,26.68,456287
7/3/2018 13:00:00,26.82,27.01,26.47,26.5,507153
7/5/2018 16:00:00,26.65,26.99,26.47,26.95,691864
7/6/2018 16:00:00,26.88,27.39,26.88,27.36,1160121
7/9/2018 16:00:00,27.5,27.62,27.41,27.5,745340
7/10/2018 16:00:00,27.51,27.78,27.43,27.67,422075
7/11/2018 16:00:00,27.58,27.58,27.3,27.34,604782
7/12/2018 16:00:00,27.5,27.94,27.5,27.93,789310
7/13/2018 16:00:00,27.93,28.03,27.46,27.6,543434
7/16/2018 16:00:00,27.64,27.8,27.53,27.68,416691
7/17/2018 16:00:00,27.54,27.8,27.51,27.78,493152
7/18/2018 16:00:00,27.79,27.91,27.71,27.85,471026
7/19/2018 16:00:00,27.7,27.85,27.63,27.81,399099
7/20/2018 16:00:00,27.93,27.97,27.67,27.76,416229
7/23/2018 16:00:00,27.75,27.93,27.64,27.83,544533
7/24/2018 16:00:00,27.93,28.06,27.75,27.85,597789
7/25/2018 16:00:00,27.93,27.99,27.7,27.99,406373
7/26/2018 16:00:00,28.01,28.01,27.67,27.78,535942
7/27/2018 16:00:00,27.83,27.95,27.56,27.63,432464
7/30/2018 16:00:00,27.69,27.71,27.55,27.57,481497
